plane,blind_agreement_margin,selected_power_fraction,heldout_power_fraction,recommended_n,eligible_n,status,is_declared,maximum_n
H,0.01,0.9,0.85,13,13,OK,false,40
H,0.01,0.9,0.9,13,13,OK,false,40
H,0.01,0.9,0.95,13,13,OK,false,40
H,0.01,0.95,0.85,13,13,OK,false,40
H,0.01,0.95,0.9,13,13,OK,false,40
H,0.01,0.95,0.95,13,13,OK,false,40
H,0.01,0.98,0.85,13,13,OK,false,40
H,0.01,0.98,0.9,13,13,OK,false,40
H,0.01,0.98,0.95,13,13,OK,false,40
H,0.02,0.9,0.85,5,"5,6",OK,false,40
H,0.02,0.9,0.9,5,"5,6",OK,false,40
H,0.02,0.9,0.95,5,"5,6",OK,false,40
H,0.02,0.95,0.85,5,5,OK,false,40
H,0.02,0.95,0.9,5,5,OK,true,40
H,0.02,0.95,0.95,5,5,OK,false,40
H,0.02,0.98,0.85,5,5,OK,false,40
H,0.02,0.98,0.9,5,5,OK,false,40
H,0.02,0.98,0.95,5,5,OK,false,40
H,0.03,0.9,0.85,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.9,0.9,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.9,0.95,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.95,0.85,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.95,0.9,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.95,0.95,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.98,0.85,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.98,0.9,,,UNRESOLVED_TRADEOFF,false,40
H,0.03,0.98,0.95,,,UNRESOLVED_TRADEOFF,false,40
V,0.01,0.9,0.85,18,"18,19,20,21,22,23,24,25,26,27,28,30,32,33",OK,false,40
V,0.01,0.9,0.9,18,"18,19,20,21,22,23,24,25,26,27,28,30,32,33",OK,false,40
V,0.01,0.9,0.95,18,"18,19,20,21,22,23,24,25,26,27,28,30,32,33",OK,false,40
V,0.01,0.95,0.85,18,"18,19,20,21,22,23",OK,false,40
V,0.01,0.95,0.9,18,"18,19,20,21,22,23",OK,false,40
V,0.01,0.95,0.95,18,"18,19,20,21,22,23",OK,false,40
V,0.01,0.98,0.85,18,"18,19,20",OK,false,40
V,0.01,0.98,0.9,18,"18,19,20",OK,false,40
V,0.01,0.98,0.95,18,"18,19,20",OK,false,40
V,0.02,0.9,0.85,12,"12,13,14,15,16,17,18,19,20",OK,false,40
V,0.02,0.9,0.9,12,"12,13,14,15,16,17,18,19,20",OK,false,40
V,0.02,0.9,0.95,12,"12,13,14,15,16,17,18,19,20",OK,false,40
V,0.02,0.95,0.85,12,"12,13,14,15",OK,false,40
V,0.02,0.95,0.9,12,"12,13,14,15",OK,true,40
V,0.02,0.95,0.95,12,"12,13,14,15",OK,false,40
V,0.02,0.98,0.85,12,12,OK,false,40
V,0.02,0.98,0.9,12,12,OK,false,40
V,0.02,0.98,0.95,12,12,OK,false,40
V,0.03,0.9,0.85,10,"10,11,12,13,14,15",OK,false,40
V,0.03,0.9,0.9,10,"10,11,12,13,14,15",OK,false,40
V,0.03,0.9,0.95,10,"10,11,12,13,14,15",OK,false,40
V,0.03,0.95,0.85,10,"10,11,12",OK,false,40
V,0.03,0.95,0.9,10,"10,11,12",OK,false,40
V,0.03,0.95,0.95,10,"10,11,12",OK,false,40
V,0.03,0.98,0.85,10,10,OK,false,40
V,0.03,0.98,0.9,10,10,OK,false,40
V,0.03,0.98,0.95,10,10,OK,false,40
